id,img,field,name,brand,price,pricestring,drive,rez,ram,ramtype,rom,romtype,framerate,controlerswith,description
51,51,console,مجموعه کنسول بازی مایکروسافت مدل Xbox Series S نسخه دیجیتال,xbox,42000000,۴۲.۰۰۰.۰۰۰,ندارد,تا ۱۴۴۰p,10,gddr6,512,ssd,تا ۱۲۰ فریم بر ثانیه,دو عدد,کنسول بازی مایکروسافت مدل Xbox Series S، با ظرفیت 512 گیگابایت، به عنوان کنسول مقرون به صرفه نسل نهمی این شرکت معرفی شد. این کنسول اگرچه قدرت کمتری نسبت به مدل Series X دارد، اما می‌تواند جدیدترین و چشم‌نوازترین بازی‌های ویدیویی روز رو با وضوح حداکثری 1440p و نرخ حداکثری 120 فریم بر ثانیه اجرا کند. خنک کننده این کنسول، طراحی مشابه نسل قبلی خود دارد و هوای گرم را توسط فن خنک‌کننده بزرگ خود از قسمت بالای کنسول خارج می‌کند، البته طراحی بسیار کم‌جا و مینیمال این کنسول اجازه می‌دهد آن را هم به صورت افقی و هم عمودی روی سطوح مختلف قرار داد. این امر به‌دلیل معماری سبک‌تر بودن هوای گرم نسبت به هوای سرد است که سرعت خنک کنندگی را افزایش می‌دهد. در مجموع، اگر از جمله علاقه‌مندان به بازی‌های ویدیویی هستید و همچنین به دنبال گزینه‌ای به‌روز اما مقرون به صرفه می‌گردید، Xbox Series S می‌تواند گزینه‌ای فوق‌العاده برای شما باشد.
52,52,console,کنسول بازی سونی مدل Playstation 4 Slim نسخه دیسک‌خور,sony,45185080,۴۵.۱۸۵.۰۸۰,Blu-ray / DVD-ROM,۱۰۸۰p/Full HD,8,ddr5,1024,hdd,تا ۶۰ فریم بر ثانیه,یک عدد,پلی‌استیشن 4 اسلیم (PS4 Slim) نسخه‌ای سبک‌تر، جمع‌وجورتر و بهینه‌شده از کنسول محبوب PS4 است که در سال 2016 توسط سونی معرفی شد. این مدل از همان سخت‌افزار اصلی PS4 استفاده می‌کند اما با طراحی باریک‌تر، مصرف انرژی کمتر و عملکرد حرارتی بهتر، برای استفاده‌ی طولانی‌مدت مناسب‌تر شده است. پردازنده مرکزی این کنسول از نوع AMD Jaguar با هشت هسته و فرکانس 1.6 گیگاهرتز است و در کنار آن، پردازنده گرافیکی AMD Radeon با توان 1.84 ترافلاپس قرار دارد که امکان اجرای بازی‌ها با کیفیت Full HD را به‌راحتی فراهم می‌کند. PS4 Slim به 8 گیگابایت حافظه رم از نوع GDDR5 مجهز است و در دو مدل با حافظه داخلی 500 گیگابایت و 1 ترابایت HDD عرضه می‌شود. از نظر اتصالات، این کنسول دارای دو پورت USB 3.1، درگاه HDMI، بلوتوث 4.0 و وای‌فای دوبانده با استاندارد 802.11ac است. برخلاف نسخه اولیه PS4، در مدل اسلیم خروجی صدای اپتیکال حذف شده است. همچنین این کنسول از فناوری HDR برای نمایش تصاویر با دامنه دینامیکی بالا پشتیبانی می‌کند.
53,53,console,کنسول بازی مایکروسافت مدل XBOX SERIES S نسخه دیجیتال,xbox,39500000,۳۹.۵۰۰.۰۰۰,ندارد,تا ۱۴۴۰p,10,gddr6,512,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,کنسول بازی مایکروسافت مدل Xbox Series S، با ظرفیت 512 گیگابایت، به عنوان کنسول مقرون به صرفه نسل نهمی این شرکت معرفی شد. این کنسول اگرچه قدرت کمتری نسبت به مدل Series X دارد، اما می‌تواند جدیدترین و چشم‌نوازترین بازی‌های ویدیویی روز رو با وضوح حداکثری 1440p و نرخ حداکثری 120 فریم بر ثانیه اجرا کند. خنک کننده این کنسول، طراحی مشابه نسل قبلی خود دارد و هوای گرم را توسط فن خنک‌کننده بزرگ خود از قسمت بالای کنسول خارج می‌کند، البته طراحی بسیار کم‌جا و مینیمال این کنسول اجازه می‌دهد آن را هم به صورت افقی و هم عمودی روی سطوح مختلف قرار داد. این امر به‌دلیل معماری سبک‌تر بودن هوای گرم نسبت به هوای سرد است که سرعت خنک کنندگی را افزایش می‌دهد. در مجموع، اگر از جمله علاقه‌مندان به بازی‌های ویدیویی هستید و همچنین به دنبال گزینه‌ای به‌روز اما مقرون به صرفه می‌گردید، Xbox Series S می‌تواند گزینه‌ای فوق‌العاده برای شما باشد.
54,54,console,کنسول بازی سونی مدل Playstation 4 Slim نسخه دیسک‌خور,sony,43862530,۴۳.۸۶۲.۵۳۰,Blu-ray / DVD-ROM,۱۰۸۰p/Full HD,8,ddr5,1024,hdd,تا ۶۰ فریم بر ثانیه,دو عدد,پلی‌استیشن 4 اسلیم (PS4 Slim) نسخه‌ای سبک‌تر، جمع‌وجورتر و بهینه‌شده از کنسول محبوب PS4 است که در سال 2016 توسط سونی معرفی شد. این مدل از همان سخت‌افزار اصلی PS4 استفاده می‌کند اما با طراحی باریک‌تر، مصرف انرژی کمتر و عملکرد حرارتی بهتر، برای استفاده‌ی طولانی‌مدت مناسب‌تر شده است. پردازنده مرکزی این کنسول از نوع AMD Jaguar با هشت هسته و فرکانس 1.6 گیگاهرتز است و در کنار آن، پردازنده گرافیکی AMD Radeon با توان 1.84 ترافلاپس قرار دارد که امکان اجرای بازی‌ها با کیفیت Full HD را به‌راحتی فراهم می‌کند. PS4 Slim به 8 گیگابایت حافظه رم از نوع GDDR5 مجهز است و در دو مدل با حافظه داخلی 500 گیگابایت و 1 ترابایت HDD عرضه می‌شود. از نظر اتصالات، این کنسول دارای دو پورت USB 3.1، درگاه HDMI، بلوتوث 4.0 و وای‌فای دوبانده با استاندارد 802.11ac است. برخلاف نسخه اولیه PS4، در مدل اسلیم خروجی صدای اپتیکال حذف شده است. همچنین این کنسول از فناوری HDR برای نمایش تصاویر با دامنه دینامیکی بالا پشتیبانی می‌کند.
55,55,console,کنسول بازی نینتندو مدل OLED,nin,26500000,۲۶.۵۰۰.۰۰۰,درایو مخصوص نینتندو,1080,4,ddr4,64,ssd,30,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
56,56,console,کنسول بازی هیبریدی نینتندو مدل Switch - OLED Neon Blue and Neon Red نسخه دیجیتال,nin,30000000,۳۰.۰۰۰.۰۰۰,کارتریج اختصاصی نینتندو,۱۲۸۰x۷۲۰/HD (در حالت دستی),4,ddr4,64,ssd,تا ۶۰ فریم بر ثانیه,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
57,57,console,کنسول بازی هیبریدی نینتندو مدل Switch 2,nin,49087280,۴۹.۰۸۷.۲۸۰,کارتریج اختصاصی نینتندو,۱۲۸۰x۷۲۰/HD (در حالت دستی),4,ddr4,256,ssd,تا ۱۲۰ فریم بر ثانیه,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
58,58,console,کنسول بازی قابل حمل نینتندو مدل Switch OLED Neon Blue and Neon Red Joy-Con,nin,25999000,۲۵.۹۹۹.۰۰۰,کارتریج اختصاصی نینتندو,۱۲۸۰x۷۲۰/HD (در حالت دستی),4,ddr4,64,ssd,تا ۶۰ فریم بر ثانیه,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
59,59,console,کنسول بازی قابل حمل نینتندو مدل نینتندو سوئیچ Lite,nin,17000000,۱۷.۰۰۰.۰۰۰,کارتریج اختصاصی نینتندو,۱۲۸۰x۷۲۰/HD (در حالت دستی),4,ddr4,64,ssd,تا ۶۰ فریم بر ثانیه,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
60,60,console,کنسول بازی قابل حمل نینتندو مدل نینتندو سوئیچ ,nin,17765000,۱۷.۷۶۵.۰۰۰,کارتریج اختصاصی نینتندو,۱۲۸۰x۷۲۰/HD (در حالت دستی),4,ddr4,64,ssd,تا ۶۰ فریم بر ثانیه,یک عدد,نینتندو سوئیچ اولد، نسخه‌ای به‌روزتر و جذاب‌تر از کنسول سوئیچ کلاسیک است که تجربه بازی را به سطح جدیدی ارتقا می‌دهد. نمایشگر 7 اینچی OLED آن، رنگ‌ها را زنده و باکیفیت‌تر از همیشه نمایش می‌دهد، به طوری که جزئیات بصری بازی‌ها را بهتر می‌توان مشاهده کرد و تجربه‌ای غرق‌کننده‌تر به گیمرها می‌دهد. همچنین، این نمایشگر بزرگ‌تر، تماشای مناظر بازی و اجرای حرکات دقیق را لذت‌بخش‌تر می‌کند. کیفیت و وضوح تصویر این نسخه از سوئیچ باعث می‌شود بازی‌ها حتی در حالت قابل‌حمل (Portable Mode) نیز بسیار جذاب‌تر به‌نظر برسند. نینتندو سوئیچ اولد علاوه بر نمایشگر بی‌نظیر، ویژگی‌های بهبودیافته‌ای مثل پایه‌ی قابل‌تنظیم و گسترده‌تر، اسپیکرهای قدرتمندتر، و حافظه داخلی 64 گیگابایتی دارد که امکان نصب بازی‌های بیشتر را فراهم می‌کند. پایه‌ی جدید این کنسول به شما امکان می‌دهد زاویه‌ای دلخواه برای قرار دادن دستگاه انتخاب کنید، که این موضوع برای بازی در حالت رومیزی ایده‌آل است. این ویژگی‌ها همراه با عمر باتری مناسب و قابلیت جابه‌جایی، نینتندو سوئیچ اولد را به انتخابی ایده‌آل برای کسانی تبدیل می‌کند که به‌دنبال یک کنسول بازی قابل حمل با کیفیت بالا و امکانات پیشرفته هستند.
