id,img,field,name,brand,price,pricestring,ram,ramtype,rom,romtype,rez,cpu,gpu,usage,description
31,31,laptop,لپ تاپ لنوو مدل IdeaPad Slim 3,len,56632900,۵۶.۶۳۲.۹۰۰,16,ddr5,512,ssd,1200,13620H,none,عمومی,لنوو با معرفی لپ‌تاپ IdeaPad Slim 3 15IRH10 به عنوان یکی از جدیدترین مدل‌های سال ۲۰۲۵، گزینه‌ی مناسبی برای استفاده روزمره و عمومی در اختیار کاربران قرار داده است. این لپ‌تاپ از پردازنده قدرتمند Core i7 مدل 13620H بهره می‌برد که با وجود 10 هسته و 16 رشته، از توانایی لازم برای انجام پردازش‌های مورد نیاز کاربر برخوردار است. در کنار پردازنده مرکزی، واحد پردازش گرافیکی یکپارچه UHD در نظر گرفته شده که برای امور روزمره و عمومی کفایت می‌کند. حافظه رم DDR5 با فرکانس ۴۸۰۰ مگاهرتز و حافظه SSD پرسرعت از دیگر نکات حائز اهمیت این لپ‌تاپ به شمار می‌آیند‌. صفحه‌نمایش ۱۵.۳ اینچی از پنل IPS با زوایای دید گسترده و دقت رنگ مناسب تشکیل شده و با ترکیب رزولوشن Full HD و نرخ به‌روز رسانی ۶۰ هرتزی، تجربه‌ی استانداردی فراهم می‌کند. طراحی ساده و ظریف، درگاه‌های متنوع و نورپردازی کیبورد برخی دیگر از ویژگی‌های این میان‌رده کاربردی هستند‌.
32,32,laptop,لپ‌تاپ ایسوس مدل Vivobook Go,asu,17270000,۱۷.۲۷۰.۰۰۰,4,ddr4,64,emmc,720,Celeron-N4500,none,عمومی,سری لپ تاپ‌های VivoBook 15 ایسوس با داشتن طراحی مناسب و ویژگی‌های فنی متناسب، قیمت معقولی هم دارند و برای دانشجویان یا کارهای روزمره و اداری گزینه‌ای عالی محسوب می‌شوند. لپ تاپ مدل A1504VA هم عضوی از این سری است که در درجه اول کیفیت ساخت آن توجه را به خود جلب می‌کند. وزن ۱.۷ کیلوگرمی برای حمل و نقل روزمره عالی است و صفحه نمایش ۱۵.۶ اینچی با رزولوشن فول اچ دی هم کاملا استاندارد و قابل قبول است. در بخش فنی، پردازنده نسل 13 اینتل مدل Core i3 1315U را داریم که با توجه به ماکسیمم فرکانس 4.5 گیگاهرتزی و ترکیب با رم از نوع DDR4 و حافظه SSD برای انجام انواع کارهای روزانه و معمول قابلیت‌هایی عالی ارائه می‌دهد. البته از پردازنده گرافیکی با حافظه اختصاصی خبری نیست که این موضوع در لپ تاپ های اقتصادی و میانرده کاملا طبیعی است. وبکم و اسپیکرهای باکیفیت از دیگر ویژگی‌های جذاب این لپ تاپ هستند.
33,33,laptop,لپ تاپ لنوو مدل IdeaPad 1 15IJL7,len,26400000,۲۶.۴۰۰.۰۰۰,16,ddr4,512,ssd,1080,N4500,none,عمومی,لپ‌تاپ لنوو IdeaPad 1 15IJL7 با طراحی جمع‌وجور و وزن سبک ۱.۵۵ کیلوگرم برای کاربران عمومی و استفاده روزمره مناسب است. بدنه پلاستیکی با ضخامت ۱۷.۹ میلی‌متر، حمل آسان و دوام کافی را ارائه می‌دهد و ظاهر مینیمال آن برای محیط‌های کاری و خانگی جذابیت دارد. صفحه‌نمایش ۱۵.۶ اینچی TN با وضوح Full HD و روکش مات، تصاویر واضح با رنگ‌های قابل قبول برای وب‌گردی، تماشای فیلم و کارهای سبک فراهم می‌کند و نرخ تازه‌سازی ۶۰ هرتز تجربه‌ای روان برای استفاده روزمره ایجاد می‌کند. پردازنده Intel Celeron N4500 با دو هسته و دو رشته پردازشی و فرکانس ۱.۱ تا ۲.۸ گیگاهرتز، همراه با گرافیک مجتمع UHD Graphics، عملکرد مناسبی برای مرور وب، کار با اسناد و برنامه‌های سبک دارد. حافظه رم ۸ گیگابایتی DDR4 با فرکانس ۲۹۳۳ مگاهرتز و ترکیب یک اسلات آنبرد و یک اسلات SO-DIMM، امکان اجرای چند برنامه سبک به صورت همزمان و ارتقای حافظه در آینده را فراهم می‌کند. حافظه داخلی ۲۵۶ گیگابایتی SSD با رابط PCIe NVMe سرعت بالای بارگذاری برنامه‌ها و انتقال فایل‌ها را تضمین می‌کند. باتری سه سلولی ۴۲ وات‌ساعتی با پشتیبانی از شارژ سریع، شارژدهی تا ۱۱ ساعت در حالت استفاده سبک ارائه می‌دهد و مناسب همراهی با کاربر در طول روز است. کیبورد با صفحه کلید اعداد و تاچ‌پد بدون دکمه با پشتیبانی از چند لمس، تجربه تایپ و حرکت روان دست را فراهم می‌کند. دو اسپیکر استریو با فناوری دالبی و وبکم HD با شاتر حریم خصوصی، امکانات چندرسانه‌ای و امنیتی کافی ارائه می‌دهند. درگاه‌های ارتباطی متنوع شامل USB 2.0 / USB 3.2 Type-A / USB 3.2 Type-C / HDMI 1.۴ / جک صدا و شبکه Wi-Fi ۶ و بلوتوث ۵.۲، اتصال آسان به دستگاه‌های جانبی و اینترنت را تضمین می‌کنند. این لپ‌تاپ بدون سیستم عامل عرضه شده و گزینه‌ای اقتصادی و کاربردی برای دانش‌آموزان و دانشجویان محسوب می‌شود.
34,34,laptop,لپ تاپ لنوو مدل V15 G4 IRU-i5,len,50650000,۵۰.۶۵۰.۰۰۰,16,ddr4,512,ssd,1080,13420H,none,عمومی,سری لپ تاپ های V15 لنوو مدل‌هایی اقتصادی و با ویژگی‌های فنی مناسب هستند که رنج استفاده وسیعی دارند. در این میان لپ تاپ Lenovo V15 G5 IRL جدیدترین نسل این سری است که ظاهر زیبا و نسبتا جمع و جوری دارد. وزن ۱.۶۵ کیلوگرمی این مدل را برای دانشجویان و کسانی که به حمل و نقا مداوم نیاز دارند، به گزینه‌ای مناسب بدل کرده است. بدنه پلاستیکی کیفیت مناسبی دارد و به کاهش وزن لپ تاپ هم کمک کرده است. نمایشگر ۱۵.۶ اینچی در رنج استاندارد قرار دارد و رزولوشن فول‌ اچ‌دی کیفیت خوبی را ارائه می‌کند، هرچند که پنل TN به کار رفته در این مدل زاویه دید را محدود کرده است و روشنایی خیلی خوبی در نور خورشید ندارد. در این مدل از پردازنده اینتل سری ۱۳ مدل Core i3 1315 استفاده شده است که برای کارهای روزمره و معمول کارایی مناسبی دارد، البته که خبری از گرافیک با حافظه اختصاصی نیست و نیازی هم به آن احساس نمی‌شود. ترکیب حافظه SSD و رم DDR5 به عملکرد روان لپ تاپ کمک می‌کند و در کل می‌توانید به عنوان یک گزینه کاربردی و اقتصادی روی آن حساب کنید.
35,35,laptop,لپ تاپ اپل مدل macBook Air MC6L4 2025,mac,171920000,۱۷۱.۹۲۰.۰۰۰,24,Unified,512,ssd,1964,نسل ۴ سری M اپل,none,عمومی,مک‌بوک ایر ۱۵ اینچی مدل ۲۰۲۵ یکی از سبک‌ترین و باریک‌ترین لپ‌تاپ‌های اپل با نمایشگری بزرگ‌تر است که ترکیبی از طراحی مینیمال، قدرت سخت‌افزاری بالا و مصرف انرژی بهینه را ارائه می‌دهد. این مدل با تراشه Apple M4 عرضه شده که نسبت به نسل قبل، عملکرد پردازشی و گرافیکی بهتری دارد، در حالی که همچنان بی‌صدا و بدون فن باقی مانده است. صفحه‌نمایش ۱۵.۳ اینچی Liquid Retina با روشنایی بالا و دقت رنگ عالی، تجربه‌ای بی‌نظیر برای تماشای ویدیو، طراحی گرافیکی یا کارهای روزمره فراهم می‌کند. باتری این مدل تا ۱۸ ساعت دوام دارد و آن را به گزینه‌ای عالی برای دانشجویان، برنامه‌نویسان و کاربران حرفه‌ای در حال حرکت تبدیل می‌کنمک‌بوک ایر ۲۰۲۵ با وزن حدود ۱.۵ کیلوگرم و ضخامت کمتر از ۱.۲ سانتی‌متر، حمل‌ونقل بسیار آسانی دارد. بدنه‌ی آلومینیومی یکپارچه و رنگ‌های متنوع آن، جلوه‌ای زیبا و مدرن به دستگاه می‌بخشد. همچنین با پشتیبانی از Wi-Fi 6E، دو پورت USB-C و شارژر مگ‌سیف، تجربه‌ای راحت و سریع در اتصال و شارژ ارائه می‌دهد. این مدل ترکیبی از کارایی، زیبایی و قدرت در قالبی سبک و قابل‌حمل است.
36,36,laptop,لپ تاپ اپل مدل macBook Pro MX2H3 2024,mac,240070000,۲۰۴.۰۷۰.۰۰۰,24,Unified,512,ssd,1964,نسل ۴ سری M اپل,none,عمومی,لپ‌تاپ MacBook Pro 14.2 اینچی 2024 مدل LLA-M4 Pro با ترکیبی از قدرت پردازشی فوق‌العاده و طراحی جمع‌وجور، انتخابی حرفه‌ای برای طراحان، ادیتورها و کاربران ورک‌استیشن است. بدنه فلزی و وزن ۱.۶ کیلوگرم، حمل آسان را ممکن می‌سازد و در عین حال استحکام بالایی ارائه می‌کند. پردازنده Apple M4 Pro با ۱۲ هسته شامل ۸ هسته پرمصرف و ۴ هسته کم‌مصرف، همراه با واحد پردازش هوش مصنوعی (Neural Engine) با قدرت ۳۸ TOPs، توانایی انجام پردازش‌های سنگین، رندرینگ و کار با نرم‌افزارهای حرفه‌ای را دارد. پهنای باند مموری ۲۷۳ گیگابایت بر ثانیه و پشتیبانی سخت‌افزاری از دیکودینگ و انکودینگ H.۲۶۴، HEVC، ProRes و AV1، تجربه‌ای روان و حرفه‌ای در کار با ویدیوها فراهم می‌کند. رم Unified 24 گیگابایتی و حافظه داخلی ۵۱۲ گیگابایت SSD، سرعت بالا و پاسخگویی بی‌نظیری در اجرای برنامه‌ها و پروژه‌های حجیم ارائه می‌دهند. نمایشگر Liquid Retina XDR 14.2 اینچی با رزولوشن ۳۰۲۴x۱۹۶۴ پیکسل، نرخ بروزرسانی ۱۲۰ هرتز، HDR، بیش از یک میلیارد رنگ و شدت روشنایی تا ۱۶۰۰ نیت، تصویری دقیق و جذاب برای طراحی، ادیت و مشاهده جزئیات فراهم می‌کند. کیبورد تک‌رنگ با نور پس‌زمینه، تاچ‌پد Force Touch چندلمسی، وبکم ۱۲ مگاپیکسلی Center Stage و حسگر اثر انگشت Touch ID، امکانات حرفه‌ای و امنیت بالا را تضمین می‌کنند. شش اسپیکر High-Fidelity با پشتیبانی از Spatial Audio و ووفرهای force-cancelling و سه میکروفن داخلی، کیفیت صوتی بی‌نظیری ارائه می‌دهند. باتری ۷۲.۴ وات‌ساعتی با پشتیبانی از شارژ سریع، تا ۲۲ ساعت تماشای ویدیو و ۱۴ ساعت وب‌گردی دوام دارد. پورت‌های متعدد شامل سه Thunderbolt ۵، HDMI، DisplayPort، جک ۳.۵ میلی‌متری و کارت‌خوان SDXC، اتصال به تجهیزات حرفه‌ای و نمایشگرهای متعدد را ممکن می‌کنند. این لپ‌تاپ همراه با شارژر، کابل USB-C به MagSafe-۳ و دفترچه راهنما و سیستم‌عامل macOS عرضه شده و تجربه‌ای کامل و حرفه‌ای در طراحی و ادیت فراهم می‌آورد.
37,37,laptop,لپ‌تاپ اپل مدل macBook Pro MX2Y3 2024,mac,291300000,۲۹۱.۳۰۰.۰۰۰,48,ddr6,512,ssd,2234,نسل ۴ سری M اپل,none,عمومی,مک‌بوک پرو ۱۶.۲ اینچی اپل مدل MX2Y3 2024 با تراشه Apple M4 Pro، یکی از پیشرفته‌ترین لپ‌تاپ‌های حرفه‌ای اپل است که طراحی متمایز، قدرت سخت‌افزاری بی‌رقیب و امکانات مدرن را در قالبی ظریف و مقاوم ارائه می‌کند. بدنه تمام‌فلزی آلومینیومی با وزن ۲.۱۵ کیلوگرم و ابعاد ۳۵.۵۷ در ۲۴.۸۱ در ۱.۶۸ سانتی‌متر، علاوه بر دوام بالا، ظاهری مینیمال و لوکس را به همراه دارد. قلب تپنده این دستگاه تراشه M4 Pro نسل چهارم اپل است که با ۱۴ هسته پردازشی (۱۰ هسته پرقدرت و ۴ هسته کم‌مصرف)، واحد پردازش هوش مصنوعی ۳۸ TOPs، ۱۶ موتور عصبی و پهنای باند حافظه ۲۷۳ گیگابایت بر ثانیه، سرعت و کارایی را به حداکثر می‌رساند. این پردازنده با پشتیبانی سخت‌افزاری از رهگیری پرتو، رمزگذاری و رمزگشایی کدک‌هایی همچون H.264، HEVC، ProRes و AV1، کار را برای تدوین‌گران و طراحان حرفه‌ای بسیار روان می‌کند. پردازنده گرافیکی یکپارچه ۲۰ هسته‌ای نیز توان رندر تصاویر پیچیده و محتوای سه‌بعدی را با کیفیت بالا تضمین می‌کند. این مدل به ۴۸ گیگابایت رم یکپارچه (Unified) و ۵۱۲ گیگابایت حافظه SSD سریع مجهز شده که عملکردی بی‌وقفه و بارگذاری آنی نرم‌افزارها را فراهم می‌آورد. صفحه‌نمایش ۱۶.۲ اینچی Liquid Retina XDR با وضوح ۳۴۵۶ در ۲۲۳۴ پیکسل، تراکم ۲۵۴ پیکسل بر اینچ، روشنایی ۱۰۰۰ نیت (و ۱۶۰۰ نیت در HDR)، نرخ تازه‌سازی تطبیقی ۱۲۰ هرتز و فناوری‌های Mini‑LED، True Tone و P3، کیفیت تصویری بی‌نقص را ارائه می‌دهد که برای کارهای گرافیکی و ویرایش ویدئو ایده‌آل است. باتری لیتیوم‌پلیمری ۱۰۰ وات‌ساعتی با شارژدهی حداکثر ۲۴ ساعت در پخش ویدئو و پشتیبانی از شارژ سریع، آزادی عمل طولانی‌مدت را تضمین می‌کند. سیستم صوتی شش اسپیکره با پشتیبانی از Spatial Audio، دوربین ۱۲ مگاپیکسلی Center Stage، تاچ‌پد Force Touch و کیبورد مجیک با Touch ID تجربه کاری کامل و ایمن را به ارمغان می‌آورد. وجود سه پورت Thunderbolt ۵، HDMI، کارت‌خوان SDXC، جک ۳.۵ میلی‌متری، Wi‑Fi 6E و بلوتوث ۵.۳، اتصالات پیشرفته و انعطاف‌پذیر را برای هر سناریوی کاری فراهم کرده است. این لپ‌تاپ با سیستم‌عامل macOS و پشتیبانی از Apple Intelligence، انتخاب هوشمندانه‌ای برای متخصصان طراحی، تدوین و تولید محتوای حرفه‌ای به شمار می‌رود.
38,38,laptop,لپ تاپ ایسوس مدل TUF Gaming A16,asu,195500000,۱۹۵.۵۰۰.۰۰۰,32,ddr5,1024,ssd,1600,Ryzen AI 9-HX 370,GeForce RTX ۴۰۷۰,gaming,یسوس TUF Gaming A16 2025 یک لپ‌تاپ گیمینگ خوب و مقاوم است – با گرافیک سریع RTX 5070، نمایشگر باکیفیت و ساخت محکم – اما پردازنده Zen 4 قدیمی و کمبود ویژگی‌های مدرن مانند USB 4، آن را در قیمتی حدود 2200 یورو، نامتعادل می‌کند. رقبایی مانند MSI Vector 16 HX یا Acer Nitro 16S با GPU Ti و اتصالات بهتر، گزینه‌های به‌صرفه‌تری در حدود 2000 یورو هستند. اگر گیمینگ سبک و دوام اولویت شماست، این مدل را انتخاب کنید؛ در غیر این صورت، منتظر مدل‌های Zen 5 بمانید یا رقبا را بررسی کنید
39,39,laptop,لپ تاپ اچ‌ پی مدل OMEN 16-wd0073,hp,123985000,۱۲۳.۹۸۵.۰۰۰,16,ddr5,1024,ssd,1080,۱۳۶۲۰H,GeForce RTX ۴۰۶۰,gaming,لپ‌تاپ HP OMEN 16 WD0073DX یکی از گزینه‌های ایده‌آل برای گیمرها، طراحان و کاربران حرفه‌ای است. این دستگاه با بهره‌گیری از پردازنده نسل سیزدهم اینتل، کارت گرافیک قدرتمند RTX 4060 و نمایشگر QHD، عملکرد فوق‌العاده‌ای را در اجرای بازی‌های سنگین، پردازش‌های گرافیکی و وظایف چندرسانه‌ای ارائه می‌دهد. در این بررسی، نگاهی دقیق به مشخصات و ویژگی‌های این لپ‌تاپ خواهیم داشت.
40,40,laptop,لپ‌تاپ لنوو مدل LOQ 15IRX9,len,90000000,۹۰.۰۰۰.۰۰۰,24,ddr5,512,ssd,1080,Core i7-13650HX,GeForce RTX 3050,gaming,لپ‌تاپ لنوو LOQ مدل 15IRX9، با بهره‌گیری از پردازنده نسل چهاردهم اینتل Core i7-13650HX و تراشه گرافیکی انویدیا جی‌فورس RTX 4050، یک گزینه ایده‌آل برای گیمرها و کاربرانی است که به دنبال اجرای روان عناوین جدید و نرم‌افزارهای گرافیکی نیمه‌سنگین هستند. این دستگاه با وزن ۲.۳۸ کیلوگرم و ضخامت ۲۳.۹ میلی‌متر، یک لپ‌تاپ گیمینگ قابل حمل محسوب می‌شود و بدنه پلاستیکی مقاوم آن، در برابر ضربات و فشارهای معمول مقاومت خوبی نشان می‌دهد. کیبورد جزیره‌ای فول‌سایز با نور پس‌زمینه، حس گیمینگ را تشدید کرده و تاچ‌پد بزرگ و چندلمسی آن هم، کنترل دقیق اشاره‌گر را تضمین می‌کند. نمایشگر ۱۵.۶ اینچی IPS با وضوح Full HD، نرخ نوسازی ۱۴۴ هرتز و روشنایی ۳۰۰ نیت، اجرای روان بازی‌ها و تجربه بصری قابل‌قبولی را فراهم می‌نماید. همچنین، پردازنده Core i7-13650HX با 14 هسته و 20 رشته، دست کاربران را برای انجام هم‌زمان چندین کار سنگین باز می‌گذارد. حافظه رم DDR5 با قابلیت ارتقا و دو اسلات ذخیره‌سازی SSD M.2 NVMe PCIe نسل چهارم، تضمین می‌کنند که فضای کافی و سرعت بالا برای نرم‌افزارها و فایل‌های حجیم در اختیار دارید. در بخش پورت‌ها، سه درگاه USB-A 3.2 Gen1، یک USB-C با پشتیبانی از DisplayPort و شارژ ۱۴۰ واتی، درگاه شبکه، خروجی HDMI و جک ۳.۵ میلی‌متری صدا کاملا پاسخگوی نیازهای حرفه‌ای شما خواهند بود. در نهایت، باتری ۶۰ وات‌ساعتی، برای استفاده‌های متداول شارژدهی مناسب دارد؛ هرچند هنگام بازی‌های سنگین، بهتر است لپ‌تاپ به برق وصل باشد.
